Genus,nitrification,anammox,denitrification,nitrogen_fixation,nitrate_reduction,S_reduction,S_oxidation,anoxygenic_photo_S_oxidation,dual_N_S_cycling
Rhizomicrobium,0,0,0,0,1,0,0,0,0
Rhodanobacter,0,0,0,0,0,0,1,0,0
Rhodobacter,0,0,1,1,1,0,1,1,0
Rhodobium,0,0,1,0,1,0,0,1,0
Rhodococcus,0,0,0,0,0,0,0,0,0
Rhodoferax,0,0,0,1,1,0,0,0,0
Rhodomicrobium,0,0,0,0,0,0,0,1,0
Rhodopila,0,0,0,1,0,0,0,1,0
Rhodoplanes,0,0,1,0,1,0,0,1,0
Rhodopseudomonas,0,0,0,1,1,0,1,1,0
Rhodospirillum,0,0,0,1,0,0,0,1,0
Rhodovulum,0,0,0,0,0,0,1,1,0
Roseinatronobacter,0,0,0,0,0,0,0,0,0
Roseivivax,0,0,0,0,0,0,0,0,0
Roseomonas,0,0,0,0,0,0,0,0,0
Roseospira,0,0,0,0,0,0,0,1,0
Roseospirillum,0,0,0,0,0,0,0,1,0
Rothia,0,0,0,0,0,0,0,0,0
Ruania,0,0,0,0,0,0,0,0,0
Rubrimonas,0,0,1,0,1,0,0,0,0
Rubritalea,0,0,0,0,0,0,0,0,0
Rubrivivax,0,0,0,1,0,0,0,0,0
Rubrobacter,0,0,0,0,0,0,0,0,0
Ruegeria,0,0,1,0,1,0,0,0,0
Rugamonas,0,0,1,0,1,0,0,0,0
Saccharomonospora,0,0,0,0,0,0,0,0,0
Saccharopolyspora,0,0,0,0,0,0,0,0,0
Salegentibacter,0,0,0,0,0,0,0,0,0
Salinibacterium,0,0,0,0,0,0,0,0,0
Salinicoccus,0,0,0,0,0,0,0,0,0
Salinimicrobium,0,0,0,0,0,0,0,0,0
Salinisphaera,0,0,0,0,0,0,1,0,0
Salmonella,0,0,0,0,0,1,0,0,1
Schlesneria,0,0,0,0,1,0,0,0,0
Sedimenticola,0,0,0,0,0,0,0,0,0
Sediminicola,0,0,0,0,0,0,0,0,0
Sediminimonas,0,0,0,0,0,0,0,0,0
Segniliparus,0,0,0,0,0,0,0,0,0
Serinicoccus,0,0,0,0,0,0,0,0,0
Serratia,0,0,0,0,1,0,0,0,0
Shewanella,0,0,1,0,1,1,0,0,1
Shimia,0,0,0,0,0,0,0,0,0
Singulisphaera,0,0,0,0,0,0,0,0,0
Sinomonas,0,0,0,0,0,0,0,0,0
Skermanella,0,0,0,0,0,0,0,0,0
Skermania,0,0,0,0,1,0,0,0,0
Slackia,0,0,0,0,1,0,0,0,0
Snuella,0,0,1,0,1,0,0,0,0
Sphaerisporangium,0,0,0,0,0,0,0,0,0
Sphingobacterium,0,0,0,0,0,0,0,0,0
Sphingomonas,0,0,0,1,0,0,0,0,0
Spirillum,0,0,0,0,0,0,0,0,0
Spirochaeta,0,0,0,0,0,0,0,1,0
Sporanaerobacter,0,0,0,0,0,1,0,0,0
Sporichthya,0,0,0,0,0,0,0,0,0
Sporocytophaga,0,0,0,0,0,0,0,0,0
Sporosarcina,0,0,0,0,0,0,0,0,0
Staphylococcus,0,0,0,0,0,0,0,0,0
Starkeya,0,0,0,0,1,0,1,0,0
Stenotrophomonas,0,0,0,0,1,0,0,0,0
Steroidobacter,0,0,1,0,1,0,0,0,0
Streptacidiphilus,0,0,0,0,0,0,0,0,0
Streptoalloteichus,0,0,0,0,0,0,0,0,0
Streptococcus,0,0,0,0,0,0,0,0,0
Streptomyces,0,0,0,0,1,0,0,0,0
Streptosporangium,0,0,0,0,0,0,0,0,0
Stygiolobus,0,0,0,0,0,1,0,0,0
Sulfitobacter,0,0,0,0,0,0,1,0,0
Sulfobacillus,0,0,0,0,0,0,1,0,0
Sulfolobus,0,0,0,0,0,0,1,0,0
Sulfuricella,0,0,1,0,1,0,1,0,0
Sulfuricurvum,0,0,0,0,0,0,1,0,0
Sulfuriferula,0,0,0,0,1,0,1,0,0
Sulfurifustis,0,0,0,0,0,0,1,0,0
Sulfurihydrogenibium,0,0,1,0,1,1,1,0,1
Sulfurimonas,0,0,1,0,1,0,1,0,0
Sulfuritalea,0,0,0,0,1,0,1,0,0
Sulfurivirga,0,0,0,0,0,0,1,0,0
Sulfurospirillum,0,0,0,0,1,1,1,0,1
Sulfurovum,0,0,0,0,1,1,1,0,1
SUP05_cluster,0,0,0,0,1,0,1,0,0
Sutterella,0,0,0,0,0,0,0,0,0
Symbiobacterium,0,0,0,0,0,0,0,0,0
Syntrophobacter,0,0,0,0,0,1,0,0,0
Tateyamaria,0,0,0,0,1,0,1,0,0
Tatumella,0,0,0,0,0,0,0,0,0
Telmatospirillum,0,0,0,1,0,0,0,0,0
Tenacibaculum,0,0,0,0,0,0,0,0,0
Tepidibacillus,0,0,0,0,1,0,0,0,0
Tepidimonas,0,0,0,0,0,0,1,0,0
Terrabacter,0,0,0,0,0,0,0,0,0
Terracoccus,0,0,0,0,0,0,0,0,0
Tersicoccus,0,0,0,0,0,0,0,0,0
Tessaracoccus,0,0,0,0,0,0,0,0,0
Tetrasphaera,0,0,0,0,0,0,0,0,0
Thalassobacillus,0,0,0,0,0,0,0,0,0
Thalassospira,0,0,0,0,1,0,0,0,0
Thauera,0,0,1,0,1,0,0,0,0
Thermacetogenium,0,0,0,0,0,1,0,0,0
Thermanaeromonas,0,0,0,0,1,1,0,0,1
Thermithiobacillus,0,0,0,0,0,0,1,0,0
Thermoanaerobacter,0,0,0,0,0,1,0,0,1
Thermoanaerobacterium,0,0,0,0,0,1,0,0,1
Thermobifida,0,0,0,0,0,0,0,0,0
Thermocladium,0,0,0,0,0,1,1,0,0
Thermococcus,0,0,0,0,0,1,0,0,0
Thermocrispum,0,0,0,0,0,0,0,0,0
Thermodesulfatator,0,0,0,0,0,1,0,0,0
Thermodesulfobacterium,0,0,0,0,0,1,0,0,0
Thermodesulfobium,0,0,0,0,1,1,0,0,1
Thermodesulforhabdus,0,0,0,0,0,1,0,0,0
Thermodesulfovibrio,0,0,0,0,1,1,0,0,1
Thermogemmatispora,0,0,0,0,0,0,0,0,0
Thermolithobacter,0,0,0,0,0,1,0,0,0
Thermomonas,0,0,0,0,0,0,0,0,0
Thermomonospora,0,0,0,0,0,0,0,0,0
Thermoplasma,0,0,0,0,0,1,0,0,0
Thermosipho,0,0,0,0,0,1,0,0,0
Thermosulfidibacter,0,0,0,0,0,1,0,0,0
Thermotoga,0,0,0,0,0,1,0,0,0
Thermovenabulum,0,0,0,0,1,1,0,0,1
Thermovibrio,0,0,0,0,1,1,0,0,1
Thermus,0,0,0,0,0,1,0,0,1
Thioalbus,0,0,0,0,1,0,1,0,0
Thioalkalicoccus,0,0,0,0,0,0,0,1,0
Thioalkalimicrobium,0,0,0,0,0,0,1,0,0
Thioalkalivibrio,0,0,0,0,1,1,1,0,1
Thiobacillus,1,0,1,0,1,1,1,0,1
Thiocapsa,0,0,0,0,0,0,0,1,0
Thioclava,0,0,0,0,0,0,1,0,0
Thiococcus,0,0,0,1,0,0,0,1,0
Thiocystis,0,0,0,1,0,0,0,1,0
Thiodictyon,0,0,0,0,0,0,0,1,0
Thioflavicoccus,0,0,0,0,0,0,0,1,0
Thiofractor,0,0,0,0,0,1,0,0,0
Thiogranum,0,0,0,0,0,0,1,0,0
Thiohalobacter,0,0,0,0,0,0,1,0,0
Thiohalocapsa,0,0,0,0,0,0,0,1,0
Thiohalomonas,0,0,1,0,1,0,1,0,0
Thiolamprovum,0,0,0,0,0,0,0,1,0
Thiolapillus,0,0,0,0,1,0,1,0,0
Thiomargarita,0,0,0,0,1,0,1,0,0
Thiomicrospira,0,0,1,0,1,0,1,0,0
Thiomonas,1,0,0,0,0,0,1,0,0
Thioploca,0,0,0,0,1,0,1,0,0
Thioprofundum,0,0,0,0,1,0,1,0,0
Thioreductor,0,0,0,0,1,1,0,0,1
Thiorhodococcus,0,0,0,1,0,0,0,1,0
Thiorhodospira,0,0,0,0,0,0,0,1,0
Thiorhodovibrio,0,0,0,0,0,0,0,1,0
Thiothrix,0,0,0,0,0,0,1,0,0
Thiovulum,0,0,0,0,0,0,1,0,0
Tistlia,0,0,0,1,0,0,0,0,0
Tistrella,0,0,0,0,0,0,0,0,0
Trabulsiella,0,0,0,0,0,0,0,0,0
Treponema,0,0,0,1,0,0,0,0,0
Trichodesmium_IMS101,0,0,0,1,0,0,0,0,0
Tsukamurella,0,0,0,0,0,0,0,0,0
Tumebacillus,0,0,0,0,0,0,1,0,0
Ulvibacter,0,0,0,0,0,0,0,0,0
Ureaplasma,0,0,0,0,0,0,0,0,0
Varibaculum,0,0,0,0,0,0,0,0,0
Veillonella,0,0,0,0,0,0,0,0,0
Verrucomicrobium,0,0,0,0,0,0,0,0,0
Vibrio,0,0,0,0,0,0,0,0,0
Virgibacillus,0,0,0,0,1,0,0,0,0
Vogesella,0,0,1,0,1,0,0,0,0
Vulcanithermus,0,0,0,0,1,0,0,0,0
Wautersiella,0,0,0,0,0,0,0,0,0
Williamsia,0,0,0,0,0,0,0,0,0
Wolinella,0,0,0,0,1,1,0,0,1
Xanthobacter,0,0,0,1,0,0,1,0,0
Xanthomonas,0,0,0,0,0,0,1,0,0
Xylanimicrobium,0,0,0,0,0,0,0,0,0
Xylanimonas,0,0,0,0,0,0,0,0,0
Yaniella,0,0,0,0,0,0,0,0,0
Yersinia,0,0,0,0,0,0,0,0,0
Yokenella,0,0,0,0,0,0,0,0,0
Zavarzinia,0,0,0,0,0,0,0,0,0
Zobellella,0,0,1,0,1,0,0,0,0
Zoogloea,0,0,1,0,1,0,0,0,0
Zunongwangia,0,0,1,0,1,0,0,0,0
