Species,Genus,Genome_id
Acinetobacter sp. 809848,Acinetobacter,1310637.3
Acinetobacter sp. 826659,Acinetobacter,1310764.3
Acinetobacter sp. 869535,Acinetobacter,1310621.3
Acinetobacter sp. 883425,Acinetobacter,1310773.3
Acinetobacter sp. 88816,Acinetobacter,1310761.3
Acinetobacter sp. 907131,Acinetobacter,1310670.3
Acinetobacter sp. 983759,Acinetobacter,1310660.3
Acinetobacter sp. A47,Acinetobacter,1561217.3
Acinetobacter sp. ACNIH1,Acinetobacter,1636603.3
Acinetobacter sp. ACNIH2,Acinetobacter,1758189.3
Acinetobacter sp. ACNIH3,Acinetobacter,1985874.3
Acinetobacter sp. ACNIH4,Acinetobacter,1985875.3
Acinetobacter sp. ANC 3862,Acinetobacter,1217705.3
Acinetobacter sp. ANC 3880,Acinetobacter,1217701.3
Acinetobacter sp. ANC 3929,Acinetobacter,1217707.3
Acinetobacter sp. ATCC 27244,Acinetobacter,525244.5
Acinetobacter sp. C15,Acinetobacter,1661746.3
Acinetobacter sp. CAG,Acinetobacter,1262690.3
Acinetobacter sp. CIP 101934,Acinetobacter,1144661.3
Acinetobacter sp. CIP 101966,Acinetobacter,1144662.3
Acinetobacter sp. CIP 102082,Acinetobacter,1144663.3
Acinetobacter sp. CIP 102129,Acinetobacter,1144664.3
Acinetobacter sp. CIP 102136,Acinetobacter,1144665.3
Acinetobacter sp. CIP 102143,Acinetobacter,1144666.3
Acinetobacter sp. CIP 102159,Acinetobacter,1144667.3
Acinetobacter sp. CIP 102529,Acinetobacter,1144668.3
Acinetobacter sp. CIP 102637,Acinetobacter,1144669.3
Acinetobacter sp. CIP 110321,Acinetobacter,1217699.3
Acinetobacter sp. CIP 51.11,Acinetobacter,1144670.3
Acinetobacter sp. CIP 53.82,Acinetobacter,1144671.3
Acinetobacter sp. CIP 56.2,Acinetobacter,1144672.3
Acinetobacter sp. CIP 64.2,Acinetobacter,1217694.3
Acinetobacter sp. CIP 64.7,Acinetobacter,1144673.3
Acinetobacter sp. CIP 70.18,Acinetobacter,1217700.3
Acinetobacter sp. CIP A162,Acinetobacter,1144674.3
Acinetobacter sp. CIP-A165,Acinetobacter,40373.3
Acinetobacter sp. FDAARGOS_493,Acinetobacter,2420300.3
Acinetobacter sp. FDAARGOS_494,Acinetobacter,2420301.3
Acinetobacter sp. FDAARGOS_495,Acinetobacter,2420302.3
Acinetobacter sp. FDAARGOS_515,Acinetobacter,2420307.3
Acinetobacter sp. FDAARGOS_541,Acinetobacter,2420312.3
Acinetobacter sp. FDAARGOS_558,Acinetobacter,2420303.3
Acinetobacter sp. FDAARGOS_559,Acinetobacter,2420304.3
Acinetobacter sp. FDAARGOS_560,Acinetobacter,2420305.3
Acinetobacter sp. MN12,Acinetobacter,1513354.3
Acinetobacter sp. N54.MGS-139,Acinetobacter,1637509.3
Acinetobacter sp. NCTC 7422,Acinetobacter,981223.3
Acinetobacter sp. NIPH 1847,Acinetobacter,1217697.3
Acinetobacter sp. NIPH 1859,Acinetobacter,1217695.3
Acinetobacter sp. NIPH 1867,Acinetobacter,1217702.3
Acinetobacter sp. NIPH 2036,Acinetobacter,1217696.3
Acinetobacter sp. NIPH 2100,Acinetobacter,1217708.3
Acinetobacter sp. NIPH 2168,Acinetobacter,1217706.3
Acinetobacter sp. NIPH 2171,Acinetobacter,1217693.3
Acinetobacter sp. NIPH 236,Acinetobacter,1217711.3
Acinetobacter sp. NIPH 284,Acinetobacter,1217704.3
Acinetobacter sp. NIPH 298,Acinetobacter,1217692.3
Acinetobacter sp. NIPH 3623,Acinetobacter,1217698.3
Acinetobacter sp. NIPH 542,Acinetobacter,1217688.3
Acinetobacter sp. NIPH 713,Acinetobacter,1217709.3
Acinetobacter sp. NIPH 809,Acinetobacter,1217713.3
Acinetobacter sp. NIPH 817,Acinetobacter,520708.3
Acinetobacter sp. NIPH 899,Acinetobacter,1217710.3
Acinetobacter sp. OIFC021,Acinetobacter,903928.3
Acinetobacter sp. S131434,Acinetobacter,2302372.3
Acinetobacter sp. TG19627,Acinetobacter,1221303.3
Acinetobacter sp. TG2027,Acinetobacter,1221304.3
Acinetobacter sp. TG27347,Acinetobacter,1221289.3
Acinetobacter sp. VT 511,Acinetobacter,1675902.3
Acinetobacter sp. WC-487,Acinetobacter,903917.3
Acinetobacter sp. WC-743,Acinetobacter,903945.3
Acinetobacter ursingii,Acinetobacter,1257043.3
Actinobacillus ureae,Actinobacillus,887324.3
Actinobaculum sp. oral taxon 183,Actinobaculum,1227261.3
Actinomadura chibensis,Actinomadura,392828.3
Actinomadura madurae,Actinomadura,1394178.3
Actinomyces coleocanis,Actinomyces,525245.3
Actinomyces culturomici,Actinomyces,1926276.3
Actinomyces dentalis,Actinomyces,1120941.3
Actinomyces europaeus,Actinomyces,883069.3
Actinomyces gerencseriae,Actinomyces,1120943.3
Actinomyces graevenitzii,Actinomyces,1321817.3
Actinomyces hominis,Actinomyces,595468.3
Actinomyces hongkongensis,Actinomyces,178339.3
Actinomyces israelii,Actinomyces,1659.4
Actinomyces johnsonii,Actinomyces,1227262.3
Actinomyces massiliensis,Actinomyces,1167628.4
Actinomyces naeslundii,Actinomyces,1655.52
Actinomyces nasicola,Actinomyces,208480.4
Actinomyces neuii,Actinomyces,33007.3
Actinomyces neuii subsp. neuii,Actinomyces,1120945.3
Actinomyces oricola,Actinomyces,206043.3
Actinomyces oris,Actinomyces,544580.29
Actinomyces radicidentis,Actinomyces,111015.3
Actinomyces sp.,Actinomyces,29317.6
Actinomyces sp. HMSC035G02,Actinomyces,1739406.3
Actinomyces sp. HMSC062G12,Actinomyces,1739450.3
Actinomyces sp. HMSC064C12,Actinomyces,1739355.3
Actinomyces sp. HMSC065F11,Actinomyces,1739395.3
Actinomyces sp. HMSC065F12,Actinomyces,1739479.3
Actinomyces sp. HMSC06A08,Actinomyces,1581120.4
Actinomyces sp. HMSC072A03,Actinomyces,1739339.3
Actinomyces sp. HMSC075B09,Actinomyces,1739358.3
Actinomyces sp. HMSC075C01,Actinomyces,1739387.3
Actinomyces sp. HMSC08A01,Actinomyces,1581131.3
Actinomyces sp. HMSC08A09,Actinomyces,1581133.13
Actinomyces sp. HPA0247,Actinomyces,1203556.3
Actinomyces sp. S4-C9,Actinomyces,1219581.3
Actinomyces sp. S6-Spd3,Actinomyces,1284680.3
Actinomyces sp. UMB0138,Actinomyces,2066054.3
Actinomyces sp. UMB0918,Actinomyces,2069311.3
Actinomyces sp. oral taxon 170,Actinomyces,762963.3
Actinomyces sp. oral taxon 171,Actinomyces,706439.23
Actinomyces sp. oral taxon 172,Actinomyces,1321775.3
Actinomyces sp. oral taxon 175,Actinomyces,944560.4
Actinomyces sp. oral taxon 178,Actinomyces,888051.3
Actinomyces sp. oral taxon 180,Actinomyces,888052.3
Actinomyces sp. oral taxon 181,Actinomyces,1127690.3
Actinomyces sp. oral taxon 414,Actinomyces,712122.3
Actinomyces sp. oral taxon 448,Actinomyces,888056.4
Actinomyces sp. oral taxon 848,Actinomyces,649743.3
Actinomyces sp. oral taxon 877,Actinomyces,1227264.3
Actinomyces sp. oral taxon 897,Actinomyces,2081702.3
Actinomyces sp. ph3,Actinomyces,1118058.3
Actinomyces timonensis,Actinomyces,521393.3
Actinomyces urogenitalis,Actinomyces,1403939.3
Actinomyces viscosus,Actinomyces,562973.4
Actinomycetaceae bacterium BA112,,1823756.4
Actinotignum sanguinis,Actinotignum,1445614.3
Actinotignum schaalii,Actinotignum,1120932.3
Actinotignum timonense,Actinotignum,1870995.4
Actinotignum urinale,Actinotignum,1120933.3
Adlercreutzia equolifaciens,Adlercreutzia,1384484.3
Advenella mimigardefordensis,Advenella,302406.17
Aerococcus christensenii,Aerococcus,525247.5
Aerococcus sanguinicola,Aerococcus,119206.53
Aerococcus sp. 1KP-2016,Aerococcus,1981982.3
Aerococcus sp. HMSC035B07,Aerococcus,1715184.3
Aerococcus sp. HMSC061A03,Aerococcus,1739396.3
Aerococcus sp. HMSC062A02,Aerococcus,1715105.3
Aerococcus sp. HMSC062B07,Aerococcus,1715159.3
Aerococcus sp. HMSC06H08,Aerococcus,1581129.4
Aerococcus sp. HMSC072A12,Aerococcus,1739333.3
Aerococcus sp. HMSC075D05,Aerococcus,1739288.3
Aerococcus sp. HMSC10H05,Aerococcus,1581084.4
Aerococcus sp. HMSC23C02,Aerococcus,1581058.3
Aerococcus urinae,Aerococcus,866775.3
Aerococcus urinaehominis,Aerococcus,128944.3
Aerococcus viridans,Aerococcus,655812.3
Aeromicrobium marinum,Aeromicrobium,585531.4
Aeromicrobium massiliense,Aeromicrobium,1033730.6
Aeromonas allosaccharophila,Aeromonas,656.10
Aeromonas caviae,Aeromonas,878320.4
Aeromonas dhakensis,Aeromonas,1156800.5
Aeromonas diversa,Aeromonas,1268237.3
Aeromonas enteropelogenes,Aeromonas,29489.3
Aeromonas hydrophila,Aeromonas,1268074.3
Aeromonas jandaei,Aeromonas,650.7
Aeromonas salmonicida,Aeromonas,645.122
Aeromonas schubertii,Aeromonas,652.6
Aeromonas sp. 159,Aeromonas,1216961.4
Aeromonas sp. ASNIH1,Aeromonas,1636606.3
Aeromonas sp. ASNIH2,Aeromonas,1636607.4
Aeromonas sp. ASNIH3,Aeromonas,1636608.3
Aeromonas sp. ASNIH4,Aeromonas,1636609.3
Aeromonas sp. ASNIH5,Aeromonas,1758179.3
Aeromonas sp. ASNIH6,Aeromonas,1758188.3
Aeromonas sp. ASNIH7,Aeromonas,1920107.3
Aeromonas sp. ASNIH8,Aeromonas,1920113.3
Aeromonas taiwanensis,Aeromonas,633417.3
Aeromonas veronii,Aeromonas,114517.11
Afipia felis,Afipia,883080.3
Afipia sp. NBIMC_P1-C1,Afipia,1320552.3
Afipia sp. NBIMC_P1-C2,Afipia,1320553.3
Afipia sp. NBIMC_P1-C3,Afipia,1320554.3
Afipia sp. OHSU_I-C4,Afipia,1297863.3
Afipia sp. OHSU_I-C6,Afipia,1297864.3
Afipia sp. OHSU_I-uncloned,Afipia,1297862.3
Afipia sp. OHSU_II-C1,Afipia,1297860.3
Afipia sp. OHSU_II-C2,Afipia,1297861.3
Afipia sp. OHSU_II-uncloned,Afipia,1293051.3
Agathobaculum butyriciproducens,Agathobaculum,1628085.5
Aggregatibacter actinomycetemcomitans,Aggregatibacter,1120957.3
Aggregatibacter aphrophilus,Aggregatibacter,634176.19
Aggregatibacter kilianii,Aggregatibacter,2025884.3
Aggregatibacter segnis,Aggregatibacter,888057.3
Aggregatibacter sp. Melo68,Aggregatibacter,1344068.3
Aggregatibacter sp. Melo83,Aggregatibacter,1344070.3
Aggregatibacter sp. Melo94,Aggregatibacter,1344071.3
Aggregatibacter sp. PN_452,Aggregatibacter,2025881.3
Aggregatibacter sp. PN_491,Aggregatibacter,2025888.3
Aggregatibacter sp. PN_516,Aggregatibacter,2025882.3
Aggregatibacter sp. PN_522,Aggregatibacter,2025883.3
Aggregatibacter sp. PN_537,Aggregatibacter,2025885.3
Aggregatibacter sp. PN_649,Aggregatibacter,2025886.3
Aggregatibacter sp. PN_755,Aggregatibacter,2025887.3
Aggregatibacter sp. oral taxon 458,Aggregatibacter,1321772.3
Agrobacterium sp. FDAARGOS_525,Agrobacterium,2420311.3
Akkermansia muciniphila,Akkermansia,239935.255
Akkermansia muciniphila CAG,Akkermansia,1263034.3
Akkermansia sp.,Akkermansia,1872421.10
Akkermansia sp. 54_46,Akkermansia,1896967.3
Akkermansia sp. BIOML-A1,Akkermansia,2584557.3
Akkermansia sp. BIOML-A10,Akkermansia,2584566.3
Akkermansia sp. BIOML-A11,Akkermansia,2584567.3
Akkermansia sp. BIOML-A12,Akkermansia,2584568.3
Akkermansia sp. BIOML-A13,Akkermansia,2584569.3
Akkermansia sp. BIOML-A14,Akkermansia,2584570.3
Akkermansia sp. BIOML-A15,Akkermansia,2584571.3
Akkermansia sp. BIOML-A16,Akkermansia,2584572.3
Akkermansia sp. BIOML-A17,Akkermansia,2584573.3
Akkermansia sp. BIOML-A18,Akkermansia,2584574.3
Akkermansia sp. BIOML-A19,Akkermansia,2584575.3
Akkermansia sp. BIOML-A2,Akkermansia,2584558.3
Akkermansia sp. BIOML-A20,Akkermansia,2584576.3
Akkermansia sp. BIOML-A21,Akkermansia,2584577.3
Akkermansia sp. BIOML-A22,Akkermansia,2584578.3
Akkermansia sp. BIOML-A23,Akkermansia,2584579.3
Akkermansia sp. BIOML-A24,Akkermansia,2584580.3
Akkermansia sp. BIOML-A25,Akkermansia,2584581.3
Akkermansia sp. BIOML-A26,Akkermansia,2584582.3
Akkermansia sp. BIOML-A27,Akkermansia,2584583.3
Akkermansia sp. BIOML-A28,Akkermansia,2584584.3
Akkermansia sp. BIOML-A29,Akkermansia,2584585.3
Akkermansia sp. BIOML-A3,Akkermansia,2584559.3
Akkermansia sp. BIOML-A30,Akkermansia,2584586.3
Akkermansia sp. BIOML-A31,Akkermansia,2584587.3
Akkermansia sp. BIOML-A32,Akkermansia,2584588.3
Akkermansia sp. BIOML-A33,Akkermansia,2584589.3
Akkermansia sp. BIOML-A34,Akkermansia,2584590.3
Akkermansia sp. BIOML-A35,Akkermansia,2584591.3
Akkermansia sp. BIOML-A36,Akkermansia,2584592.3
Akkermansia sp. BIOML-A37,Akkermansia,2584593.3
Akkermansia sp. BIOML-A38,Akkermansia,2584594.3
Akkermansia sp. BIOML-A39,Akkermansia,2584595.3
Akkermansia sp. BIOML-A4,Akkermansia,2584560.3
Akkermansia sp. BIOML-A40,Akkermansia,2584596.3
Akkermansia sp. BIOML-A41,Akkermansia,2584597.3
Akkermansia sp. BIOML-A42,Akkermansia,2584598.3
Akkermansia sp. BIOML-A43,Akkermansia,2584599.3
Akkermansia sp. BIOML-A44,Akkermansia,2584600.3
Akkermansia sp. BIOML-A45,Akkermansia,2584601.3
Akkermansia sp. BIOML-A46,Akkermansia,2584602.3
Akkermansia sp. BIOML-A47,Akkermansia,2584603.3
Akkermansia sp. BIOML-A48,Akkermansia,2584604.3
Akkermansia sp. BIOML-A49,Akkermansia,2584605.3
Akkermansia sp. BIOML-A5,Akkermansia,2584561.3
Akkermansia sp. BIOML-A50,Akkermansia,2584606.3
Akkermansia sp. BIOML-A51,Akkermansia,2584607.3
Akkermansia sp. BIOML-A52,Akkermansia,2584608.3
Akkermansia sp. BIOML-A53,Akkermansia,2584609.3
Akkermansia sp. BIOML-A54,Akkermansia,2584610.3
Akkermansia sp. BIOML-A55,Akkermansia,2584611.3
Akkermansia sp. BIOML-A56,Akkermansia,2584612.3
Akkermansia sp. BIOML-A57,Akkermansia,2584613.3
Akkermansia sp. BIOML-A58,Akkermansia,2584614.3
Akkermansia sp. BIOML-A59,Akkermansia,2584615.3
Akkermansia sp. BIOML-A6,Akkermansia,2584562.3
Akkermansia sp. BIOML-A60,Akkermansia,2584616.3
Akkermansia sp. BIOML-A61,Akkermansia,2584617.3
Akkermansia sp. BIOML-A62,Akkermansia,2584618.3
Akkermansia sp. BIOML-A63,Akkermansia,2584619.3
Akkermansia sp. BIOML-A64,Akkermansia,2584620.3
Akkermansia sp. BIOML-A65,Akkermansia,2584621.3
Akkermansia sp. BIOML-A66,Akkermansia,2584622.3
Akkermansia sp. BIOML-A67,Akkermansia,2584623.3
Akkermansia sp. BIOML-A7,Akkermansia,2584563.3
Akkermansia sp. BIOML-A8,Akkermansia,2584564.3
Akkermansia sp. BIOML-A9,Akkermansia,2584565.3
Akkermansia sp. CAG,Akkermansia,1262691.3
Akkermansia sp. KLE1605,Akkermansia,1131336.3
Akkermansia sp. KLE1797,Akkermansia,1574264.3
Akkermansia sp. KLE1798,Akkermansia,1574265.3
Akkermansia sp. UNK.MGS-1,Akkermansia,1638783.3
Akkermansia sp. aa_0143,Akkermansia,2478952.3
Alcaligenaceae bacterium 429,,2562948.3
Alcaligenes faecalis,Alcaligenes,511.46
Alcaligenes faecalis subsp. faecalis,Alcaligenes,32001.3
Aliiarcobacter faecis,Aliiarcobacter,1355371.3
Alistipes finegoldii,Alistipes,679935.3
Alistipes finegoldii CAG,Alistipes,1263035.3
Alistipes indistinctus,Alistipes,626932.3
Alistipes inops,Alistipes,1501391.3
Alistipes obesi,Alistipes,1118061.3
Alistipes onderdonkii,Alistipes,1120974.3
Alistipes putredinis,Alistipes,445970.5
Alistipes putredinis CAG,Alistipes,1263036.3
Alistipes senegalensis,Alistipes,1033732.3
Alistipes shahii,Alistipes,717959.3
Alistipes sp.,Alistipes,1872444.542
Alistipes sp. 3BBH6,Alistipes,2585117.3
Alistipes sp. 56_11,Alistipes,1896968.3
Alistipes sp. 56_sp_Nov_56_25,Alistipes,1896969.3
Alistipes sp. 58_9_plus,Alistipes,1896970.3
Alistipes sp. 5CBH24,Alistipes,2585118.3
Alistipes sp. 5CPEGH6,Alistipes,2585119.3
Alistipes sp. 5CPYCFAH4,Alistipes,2585754.3
Alistipes sp. 5NYCFAH2,Alistipes,2585755.3
Alistipes sp. 6CPBBH3,Alistipes,2585756.3
Alistipes sp. AF14-19,Alistipes,2292910.3
Alistipes sp. AF17-16,Alistipes,2292190.3
Alistipes sp. AF48-12,Alistipes,2291998.3
Alistipes sp. AM16-43,Alistipes,2292911.3
Alistipes sp. CAG,Alistipes,1262692.3
Alistipes sp. HGB5,Alistipes,908612.3
Alistipes sp. N15.MGS-157,Alistipes,1637503.3
Alistipes timonensis,Alistipes,1033731.3
Alkanindiges illinoisensis,Alkanindiges,197183.3
Alloiococcus otitis,Alloiococcus,883081.3
Alloprevotella rava,Alloprevotella,679199.3
Alloprevotella sp.,Alloprevotella,1872471.3
Alloprevotella tannerae,Alloprevotella,626522.3
Alloscardovia omnicolens,Alloscardovia,1120979.4
Alloscardovia sp. HMSC034E08,Alloscardovia,1739413.3
Amycolatopsis benzoatilytica,Amycolatopsis,1089544.3
Amycolatopsis palatopharyngis,Amycolatopsis,187982.4
Anaerobutyricum hallii,Anaerobutyricum,39488.26
Anaerococcus hydrogenalis,Anaerococcus,879306.3
Anaerococcus lactolyticus,Anaerococcus,525254.4
Anaerococcus mediterraneensis,Anaerococcus,1870984.4
Anaerococcus nagyae,Anaerococcus,1755241.3
Anaerococcus obesiensis,Anaerococcus,1118056.3
Anaerococcus octavius,Anaerococcus,54007.7
Anaerococcus prevotii,Anaerococcus,879305.3
Anaerococcus senegalensis,Anaerococcus,1033733.3
Anaerococcus sp. HMSC065G05,Anaerococcus,1739356.3
Anaerococcus sp. HMSC068A02,Anaerococcus,1739286.3
Anaerococcus sp. HMSC075B03,Anaerococcus,1739537.3
Anaerococcus sp. PH9,Anaerococcus,1118055.3
Anaerococcus tetradius,Anaerococcus,525255.3
Anaerococcus vaginalis,Anaerococcus,655811.4
Anaerofustis stercorihominis,Anaerofustis,445971.6
Anaeroglobus geminatus,Anaeroglobus,861450.3
Anaerolinea thermolimosa,Anaerolinea,229919.9
Anaerolineaceae bacterium oral taxon 439,,1889813.3
Anaerosphaera sp. HMSC064C01,Anaerosphaera,1739304.3
Anaerostipes caccae,Anaerostipes,411490.6
Anaerostipes hadrus,Anaerostipes,649757.3
Anaerostipes rhamnosivorans,Anaerostipes,1229621.4
Anaerostipes sp. 3_2_56FAA,Anaerostipes,665937.3
Anaerostipes sp. AF04-45,Anaerostipes,2292912.3
Anaerostipes sp. BG01,Anaerostipes,2025494.3
Anaerostipes sp. CAG,Anaerostipes,1262699.3
Anaerotruncus colihominis,Anaerotruncus,445972.6
Anaerotruncus sp. 22A2-44,Anaerotruncus,2321404.3
Anaerotruncus sp. AF02-27,Anaerotruncus,2292191.3
Anaerotruncus sp. CAG,Anaerotruncus,1262703.3
Anaplasma phagocytophilum,Anaplasma,1217107.4
Aneurinibacillus aneurinilyticus,Aneurinibacillus,649747.3
Anoxybacillus flavithermus,Anoxybacillus,33934.14
Arabia massiliensis,Arabia,1870985.3
Arcanobacterium haemolyticum,Arcanobacterium,28264.5
Arcanobacterium sp. S3PF19,Arcanobacterium,1219585.3
Arcobacter butzleri,Arcobacter,888827.3
Arcobacter cryaerophilus,Arcobacter,1032071.3
Arcobacter sp. AF1028,,1355368.3
Arsenicicoccus sp. oral taxon 190,Arsenicicoccus,1658671.4
Arthrobacter luteolus,Arthrobacter,98672.5
Arthrobacter sp. HMSC06H05,Arthrobacter,1581128.4
Arthrobacter sp. HMSC08H08,Arthrobacter,1581143.6
Arthrobacter sp. MN05-02,Arthrobacter,1571833.3
Asaccharobacter celatus,Asaccharobacter,394340.3
Atlantibacter hermannii,Atlantibacter,565.15
Atopobiaceae bacterium,,2485926.3
Atopobium deltae,Atopobium,1393034.3
Atopobium minutum,Atopobium,997872.3
Atopobium parvulum,Atopobium,1287474.3
Atopobium rimae,Atopobium,553184.4
Atopobium sp. HMSC064B08,Atopobium,1739402.3
Atopobium sp. oral taxon 810,Atopobium,1321773.3
Atopobium vaginae,Atopobium,525256.4
Aureimonas altamirensis,Aureimonas,370622.3
