Pathogen_Genus,No_Pathogen_species_in_genus,Total_Species_in_genus,Percent_Pathogens
Lachnoanaerobaculum,2,7,0.285714286
Lactobacillus,770,1350,0.57037037
Lactococcus,38,414,0.09178744
Laribacter,2,2,1
Lautropia,1,2,0.5
Legionella,19,87,0.218390805
Leifsonia,1,19,0.052631579
Leminorella,1,1,1
Leptospira,4,49,0.081632653
Leptotrichia,6,25,0.24
Leuconostoc,78,252,0.30952381
Listeria,14,32,0.4375
Lysinibacillus,22,98,0.224489796
Macrococcus,1,20,0.05
Marvinbryantia,2,10,0.2
Massilia,6,65,0.092307692
Megamonas,3,3,1
Megasphaera,5,13,0.384615385
Methanobrevibacter,6,46,0.130434783
Methanosphaera,2,5,0.4
Microbacterium,6,166,0.036144578
Micrococcus,9,32,0.28125
Mitsuokella,1,6,0.166666667
Mobiluncus,20,23,0.869565217
Moellerella,1,1,1
Mogibacterium,2,8,0.25
Moraxella,35,58,0.603448276
Morganella,4,8,0.5
Mycobacterium,89,536,0.166044776
Mycoplasma,11,147,0.074829932
Myroides,2,11,0.181818182
Neisseria,835,876,0.953196347
Nesterenkonia,1,19,0.052631579
Nocardia,192,403,0.476426799
Nocardiopsis,13,119,0.109243697
Nosocomiicoccus,1,1,1
Oceanobacillus,2,33,0.060606061
Ochrobactrum,52,130,0.4
Odoribacter,1,6,0.166666667
Oligella,5,5,1
Oribacterium,1,7,0.142857143
Orientia,4,4,1
Ornithinibacillus,1,5,0.2
Oxalobacter,2,3,0.666666667
Paenalcaligenes,2,2,1
Paenibacillus,43,316,0.136075949
Pandoraea,9,21,0.428571429
Pannonibacter,5,6,0.833333333
Pantoea,59,92,0.641304348
Parabacteroides,5,14,0.357142857
Paracoccus,10,91,0.10989011
Paraeggerthella,4,4,1
Paraprevotella,2,4,0.5
Parascardovia,1,1,1
Parasutterella,1,3,0.333333333
Parvimonas,1,9,0.111111111
Pasteurella,18,93,0.193548387
Pediococcus,10,31,0.322580645
Peptoniphilus,7,20,0.35
Peptostreptococcus,2,4,0.5
Phascolarctobacterium,2,7,0.285714286
Planomicrobium,2,29,0.068965517
Plesiomonas,1,1,1
Porphyromonas,21,47,0.446808511
Prevotella,45,191,0.235602094
Propionibacterium,3,365,0.008219178
Proteus,7,8,0.875
Providencia,5,11,0.454545455
Pseudoflavonifractor,1,1,1
Pseudomonas,467,2090,0.223444976
Pseudoramibacter,1,2,0.5
Psychrobacter,3,105,0.028571429
Pyramidobacter,2,10,0.2
Rahnella,3,8,0.375
Ralstonia,67,134,0.5
Raoultella,12,20,0.6
Rhizobium,1,500,0.002
Rhodococcus,63,385,0.163636364
Rhodopirellula,6,17,0.352941176
Rickettsia,11,85,0.129411765
Robinsoniella,1,4,0.25
Roseburia,6,33,0.181818182
Roseomonas,3,33,0.090909091
Rothia,9,20,0.45
Ruminococcus,5,47,0.106382979
Salmonella,5,22,0.227272727
Sanguibacter,1,14,0.071428571
Scardovia,1,3,0.333333333
Segniliparus,3,5,0.6
Selenomonas,4,39,0.102564103
Serinicoccus,1,3,0.333333333
Serratia,34,98,0.346938776
Shewanella,9,215,0.041860465
Shuttleworthia,1,2,0.5
Simonsiella,4,4,1
Slackia,2,6,0.333333333
Sneathia,1,4,0.25
Solobacterium,9,14,0.642857143
Sphingobacterium,10,36,0.277777778
Sphingobium,19,117,0.162393162
Sphingomonas,8,183,0.043715847
Sporosarcina,2,26,0.076923077
Staphylococcus,143,10282,0.0139078
Stenotrophomonas,76,372,0.204301075
Streptobacillus,5,9,0.555555556
Streptococcus,352,1818,0.193619362
Streptomyces,10,1588,0.006297229
Subdoligranulum,2,13,0.153846154
Succinatimonas,1,1,1
Sutterella,5,9,0.555555556
Tannerella,13,23,0.565217391
Tatumella,2,12,0.166666667
Taylorella,2,9,0.222222222
Thermoactinomyces,2,5,0.4
Tissierella,4,8,0.5
Treponema,18,283,0.06360424
Tropheryma,1,1,1
Trueperella,2,6,0.333333333
Tsukamurella,14,36,0.388888889
Turicibacter,2,14,0.142857143
Ureaplasma,9,26,0.346153846
Varibaculum,1,1,1
Veillonella,15,30,0.5
Vibrio,46,282,0.163120567
Victivallis,1,8,0.125
Virgibacillus,5,39,0.128205128
Weissella,21,82,0.256097561
Wohlfahrtiimonas,1,1,1
Wolinella,3,3,1
Xylanimonas,1,1,1
Yersinia,58,160,0.3625
Yokenella,1,1,1
Escherichia-Shigella,,,
